INSERT INTO cliente (nomeCompleto, primeiroNome, sobrenome, dataNascimento) VALUES 
('Santiago Rodrigues Gilberto','Santiago','Rodrigues Gilberto','1984-09-15'),
('Andressa Santos Scheifer','Andressa','Santos Scheifer','1998-02-10'),
('Helena Silva','Helena','Silva','1973-05-30'),
('João Borges','João','Borges','1992-07-22'),
('Vanessa Luz','Vanessa','Luz','1995-04-01'),
('Rosa Amorim','Rosa','Amorim','1989-07-11'),
('Cristiano Machado','Cristiano','Machado','2000-01-29'),
('Estefani Silveira','Estefani','Silveira','1994-12-17'),
('Samanta Fagundes','Samanta','Fagundes','1987-10-05'),
('Camila Marques','Camila','Marques','1997-09-30'),
('Orlando Souza','Orlando','Souza','2001-02-20'),
('Renata Correia','Renata','Correia','1996-04-10'),
('Gabriel Borba','Gabriel','Borba','1978-08-30');

INSERT INTO contaTipo (nome) 
VALUES ('conta-salário'), ('conta-corrente'), ('conta-poupança');

INSERT INTO categoria 
VALUES ('básica'),('prata'),('ouro'),('premium');

INSERT INTO movimentoTipo (nomeTipo)
VALUES  ('entrada de fundos - transferência'),
('entrada de fundos - depósito'),('entrada de fundos - pix'),
('entrada de fundos - cobrança'),('entrada de fundos - estorno'),
('saída de fundos - transferência'),('saída de fundos - saque'),
('saída de fundos - pix'),('saída de fundos - pagamento de boleto'),
('saída de fundos - taxa de operação bancária');

INSERT INTO movimentoStatus (nomeStatus)
VALUES ('pendente'), ('sucesso'), ('falha');

INSERT INTO conta (cliente_id, tipo_id,categoria_id, valor)
VALUES (9,1,1,24700),(11,3,4,5000),(3,3,3,50450),(6,3,2,5600),
(8,2,1,4500),(6,3,4,128500),(2,1,1,2999),(5,2,1,103649),
(7,3,3,20000),(10,3,4,1000),(13,3,2,19498),(12,3,3,1500),
(12,3,2,54999),(1,1,1,5499);

INSERT INTO contaServicos (categoria_id, nome, quantidade, taxa) 
VALUES (1,'cadastro de conta',1,0),(1,'saque caixa eletronico',1,0),
(1,'extrato caixa eletronico',99,0),(1,'extrato online',99,0),(1,'atendimento fone',99,0),
(2,'cadastro de conta',1,1999),(2,'saque caixa eletronico',6,50),(2,'extrato caixa eletronico',99,0),
(2,'extrato online',99,0),(2,'atendimento fone',99,0),(2,'atendimento 24/7',99,0),
(2,'cartão de débito',99,499),(2,'pix',99,0),(3,'cadastro de conta',1,499),
(3,'saque caixa eletronico',10,0),(3,'extrato caixa eletronico',99,0),(3,'extrato online',99,0),
(3,'atendimento 24/7',99,0),(3,'cartão de débito',1,499),(3,'pix',99,0),
(3,'internet banking',99,0),(3,'cartão de crédito',1,499),(3,'seguro de automóvel',1,79999),
(3,'limite pré aprovado R$ 5.000,00',1,0),(4,'cadastro de conta',1,2999),(4,'saque caixa eletronico',99,0),
(4,'extrato caixa eletronico',99,0),(4,'extrato online',99,0),(4,'atendimento 24/7',99,0),
(4,'cartão de débito',99,0),(4,'pix',99,0),(4,'internet banking',99,0),
(4,'cartão de crédito',3,0),(4,'previdência privada',12,49999),(4,'limite pré aprovado R$ 50.000,00',1,0),
(4,'seguro de automóvel',3,199999),(4,'seguro de vida',12,4999),(4,'desconto em viagens',12,999),
(4,'título de capitalização',12,9999),(4,'consórcio automotivo',3,399999);

INSERT INTO movimento (valor, cadastradoEm, atualizadoEm, tipo_id,conta_id, status_id)
VALUES  (1999,'2021-03-26 12:22:31','2021-03-26 12:22:31',2,14,2),
(1999,'2021-03-26 12:22:31','2021-03-26 12:22:31',10,14,2),
(4500,'2021-03-26 12:22:31','2021-03-26 12:22:31',4,5,2),
(5600,'2021-03-26 12:22:31','2021-03-26 12:22:31',5,4,2),
(4999,'2021-03-26 12:22:31','2021-03-26 12:22:31',7,8,2),
(1000,'2021-03-26 12:22:31','2021-03-26 12:22:31',5,10,2),
(60000,'2021-03-26 12:22:31','2021-03-26 12:22:31',9,10,2),
(5000,'2021-03-26 12:22:31','2021-03-26 12:22:31',2,1,2),
(450,'2021-03-26 12:22:31','2021-03-26 12:22:31',5,3,2),
(1500,'2021-03-26 12:22:31','2021-03-26 12:22:31',6,4,1),
(3500,'2021-03-26 12:22:31','2021-03-26 12:22:31',3,6,2),
(2500,'2021-03-26 12:22:31','2021-03-26 12:22:31',8,7,2),
(50000,'2021-03-26 12:22:31','2021-03-26 12:22:31',3,3,2),
(10000,'2021-03-26 12:22:31','2021-03-26 12:22:31',2,1,2),
(5000,'2021-03-26 12:22:31','2021-03-26 12:22:31',1,2,2),
(1999,'2021-03-26 12:22:31','2021-03-26 12:22:31',10,2,2),
(140000,'2021-03-26 12:22:31','2021-03-26 12:22:31',6,12,1),
(5000,'2021-03-26 12:22:31','2021-03-26 12:22:31',1,12,1),
(6300,'2021-03-26 12:22:31','2021-03-26 12:22:31',9,12,1),
(1999,'2021-03-26 12:22:31','2021-03-26 12:22:31',8,8,2),
(1999,'2021-03-26 12:22:31','2021-03-26 12:22:31',3,8,2),
(5000,'2021-03-26 12:22:31','2021-03-26 12:22:31',8,9,2),
(2999,'2021-03-26 12:22:31','2021-03-26 12:22:31',1,7,2),
(10000,'2021-03-26 12:22:31','2021-03-26 12:22:31',1,6,2),
(199,'2021-03-26 12:22:31','2021-03-26 12:22:31',7,5,1),
(1999,'2021-03-26 12:22:31','2021-03-26 12:22:31',2,7,1),
(9999,'2021-03-26 12:22:31','2021-03-26 12:22:31',2,11,2),
(5000,'2021-03-26 12:22:31','2021-03-26 12:22:31',7,13,2),
(9999,'2021-03-26 12:22:31','2021-03-26 12:22:31',5,13,2),
(2999,'2021-03-26 12:22:31','2021-03-26 12:22:31',2,11,2),
(1500,'2021-03-26 12:22:31','2021-03-26 12:22:31',2,12,2),
(1999,'2021-03-26 12:22:31','2021-03-26 12:22:31',10,14,2),
(750000,'2021-03-26 12:22:31','2021-03-26 12:22:31',9,5,2),
(75000000,'2021-03-26 12:22:31','2021-03-26 12:22:31',6,4,1),
(250,'2021-03-26 12:22:31','2021-03-26 12:22:31',9,14,2),
(45000,'2021-03-26 12:22:31','2021-03-26 12:22:31',3,13,2),
(8000,'2021-03-26 12:22:31','2021-03-26 12:22:31',8,9,2),
(150000,'2021-03-26 12:22:31','2021-03-26 12:22:31',2,8,1),
(6000,'2021-03-26 12:22:31','2021-03-26 12:22:31',7,13,2),
(5000,'2021-03-26 12:22:31','2021-03-26 12:22:31',2,9,2),
(1400,'2021-03-26 12:22:31','2021-03-26 12:22:31',9,7,2),
(50000,'2021-03-26 12:22:31','2021-03-26 12:22:31',1,4,1),
(45000,'2021-03-26 12:22:31','2021-03-26 12:22:31',8,3,2),
